machine_id,RUL,RUL_std,status,temperature,air_temperature,torque,tool_wear,speed,voltage,current,power_kw,vibration,efficiency,health_index,failure_probability,time_to_failure_hours,fault_component,fault_confidence,fault_severity,feedback_override
M1,76.70420252482096,0.28410825218428676,HEALTHY,346.0802781438257,339.72092496457367,62.85477622146142,86.53310877113525,1997.721354166611,430.29,28.36,18.6,10.088,76.84,34.52,0.6548,2.56,stator,0.6274,LOW,0
M1,77.04582926432292,0.16590071627070277,HEALTHY,346.15675592997025,339.59467653150193,63.13904715260487,79.19414722977042,2028.793797348436,432.46,28.63,18.88,10.146,77.25,34.82,0.6518,2.57,stator,0.6811,LOW,0
M1,62.72988319396973,0.3723944235623925,WARNING,328.91542733433744,315.6768789513843,62.77350591212652,73.91327936292252,1939.2755681817496,385.84,29.66,17.44,7.886,79.44,16.07,0.8393,2.09,lubrication,0.9792,WARNING,0
M1,77.6802864074707,0.2841111645649152,HEALTHY,346.15675592997025,339.59467653150193,63.99991691635718,80.86892832880424,2132.3686079545196,431.16,30.73,20.2,10.307,76.92,34.97,0.6503,2.59,stator,0.7409,LOW,0
M1,77.74535903930663,0.2859681200482778,HEALTHY,345.72289156626545,338.82057989971645,62.903643497979616,85.15318349939609,2173.0587121211947,428.44,31.15,20.34,10.412,76.49,35.0,0.65,2.59,stator,0.7454,LOW,0
M1,62.53466567993164,0.1659033097661422,WARNING,352.28968608810294,324.1355239671898,73.66390251453304,99.03499584843009,2090.9386837120865,386.0,41.57,24.46,8.132,71.69,16.23,0.8377,2.08,stator,0.9822,WARNING,0
M1,77.74535903930663,0.2859681200482778,HEALTHY,345.72289156626545,338.82057989971645,62.04382464339972,78.45405910326075,2135.3278882575505,430.15,29.75,19.5,10.133,77.32,35.0,0.65,2.59,stator,0.7217,LOW,0
M1,77.94057693481446,0.28596812004827776,HEALTHY,344.9610551581329,338.9021197814475,61.63361976309292,81.80951841787432,2191.5542140151388,429.63,30.51,19.98,10.239,76.95,35.08,0.6492,2.6,stator,0.7167,LOW,0
M1,65.57680740356446,0.23518603135836863,WARNING,333.73499858810254,314.7699340527577,65.08357942466554,95.65299950936,1999.9408143938842,385.84,32.84,19.32,7.212,76.7,17.53,0.8247,2.19,lubrication,0.9848,WARNING,0
M1,77.85923614501954,0.24347949358575666,HEALTHY,344.9610551581329,338.9021197814475,62.2286095062194,82.02771173007238,2159.741950757556,427.96,30.47,19.87,10.207,76.98,35.1,0.649,2.6,stator,0.7117,LOW,0
M1,77.53387298583985,0.1659033097661422,HEALTHY,344.2742258094883,339.61575341999117,63.214012006905165,73.4149730147945,2123.4907670454268,429.69,30.08,19.7,10.202,77.56,35.04,0.6496,2.58,lubrication,0.5468,LOW,0
M1,76.18362350463867,0.2628201351528832,HEALTHY,344.2742258094883,339.61575341999117,63.332939894918965,73.34420761624378,2147.904829545432,433.96,30.23,19.99,10.283,77.45,34.31,0.6569,2.54,lubrication,0.5148,LOW,0
M1,65.52800267537435,0.2499153238393285,WARNING,337.10884553840384,320.2812210458905,60.06163479266014,147.82478959088238,1939.2755681817496,386.24,30.43,17.92,7.248,74.0,17.49,0.8251,2.18,lubrication,0.9832,WARNING,0
M1,75.37021560668946,0.24184355461049845,HEALTHY,344.12127023719916,340.0545359167211,62.17080950173551,81.9097693991545,2113.873106060576,429.21,29.82,19.51,10.434,76.68,33.97,0.6603,2.51,lubrication,0.6425,LOW,0
M1,73.75966796875,0.30172938107216624,HEALTHY,344.12127023719916,340.0545359167211,62.87912228395615,89.46102713617151,2116.832386363607,427.3,30.59,19.93,10.532,76.04,33.17,0.6683,2.46,lubrication,0.6639,LOW,0
M1,65.38158925374348,0.2950768039243286,WARNING,319.75868317018063,307.5322582842816,77.72444040528991,83.09214126660622,2090.9386837120865,385.44,39.62,23.27,7.689,79.48,17.36,0.8264,2.18,rotor,0.9682,WARNING,0
M1,72.5883679707845,0.2499155556012846,HEALTHY,344.09920933734975,340.2120803357313,61.91929190646628,83.95017172403375,1949.633049242358,428.85,27.5,17.98,10.505,76.44,32.69,0.6731,2.42,lubrication,0.7572,LOW,0
M1,70.79887084960937,0.24991618466461538,WARNING,344.09920933734975,340.2120803357313,62.67331923768779,74.47645399305539,1952.592329545389,428.37,27.71,18.09,10.573,76.98,19.88,0.8012,2.36,lubrication,0.7188,WARNING,0
M1,68.11463241577148,0.24184355461049845,WARNING,332.2892742846387,329.80371668574224,70.8373071437426,112.56003264643749,1999.9408143938842,385.6,34.78,20.44,7.317,78.88,18.67,0.8133,2.27,lubrication,0.9757,WARNING,0
M1,69.28593978881835,0.08760671171762775,WARNING,343.58445500753044,339.4303193808588,62.72691560548193,74.33197463768099,2011.7779356060082,428.67,28.61,18.69,10.673,76.85,19.39,0.8061,2.31,lubrication,0.6811,WARNING,0
M1,66.7481076558431,0.39212561079165736,WARNING,342.1681452371991,324.03099111619787,69.89026282785068,100.48273796044701,2060.606060606019,385.84,36.42,21.42,7.336,76.53,17.87,0.8213,2.22,lubrication,0.9826,WARNING,0
M1,68.53760452270508,0.32576960925593584,WARNING,343.58445500753044,339.4303193808588,63.29563261929755,86.74835352506037,1981.4453124999409,429.79,28.63,18.76,10.611,76.11,18.76,0.8124,2.28,lubrication,0.7674,WARNING,0
M1,68.27731399536133,0.3416313171386719,WARNING,343.6271060805726,339.49567902496176,64.33936057905342,78.85506302838152,2019.915956439343,428.61,29.58,19.32,10.669,76.56,18.63,0.8137,2.28,lubrication,0.738,WARNING,0
M1,66.17872441609701,0.41026412645865123,WARNING,319.75868317018063,307.0264129605406,68.08234874820644,99.51561084692042,1999.9408143938842,385.6,33.61,19.75,7.491,78.46,17.59,0.8241,2.21,lubrication,0.9862,WARNING,0
M1,67.82180557250976,0.19857817489188365,WARNING,343.6271060805726,339.49567902496176,63.34625141110313,74.77425837862302,2053.9476799241993,428.36,29.51,19.27,10.644,76.86,18.59,0.8141,2.26,lubrication,0.7167,WARNING,0
M1,68.7165542602539,0.36521924037863496,WARNING,343.36237528237984,339.09500524580324,61.74011189256625,82.2488536005434,2060.606060606019,426.99,29.08,18.93,10.54,76.51,18.8,0.812,2.29,lubrication,0.7476,WARNING,0
M1,60.54995422363281,0.24991618466461538,WARNING,337.83097232680745,326.2459804883365,67.7810881187753,86.4741376056763,1999.9408143938842,385.76,32.94,19.37,7.569,79.67,15.22,0.8478,2.02,lubrication,0.9838,WARNING,0
M1,68.79789505004882,0.23518603135836863,WARNING,343.36237528237984,339.09500524580324,60.028005699142255,83.54916779891298,2048.0291193181374,422.57,28.51,18.36,10.691,76.22,18.99,0.8101,2.29,lubrication,0.7562,WARNING,0
M1,68.99311294555665,0.2351860313583686,WARNING,343.20500753012084,339.2985356033354,58.84993651684355,75.19885076992738,2099.8165246211793,423.36,28.43,18.34,10.762,76.68,19.08,0.8092,2.3,lubrication,0.6736,WARNING,0
M1,60.0944465637207,0.350425642640216,WARNING,314.4581842996986,320.1766881948986,67.86708751938617,119.32402532457768,1969.608191287817,385.68,32.65,19.19,6.7,79.27,14.9,0.851,2.0,lubrication,0.9864,WARNING,0
M1,68.6189453125,0.29820026105817676,WARNING,343.20500753012084,339.2985356033354,59.88981114296716,80.48561575332116,2044.3300189393485,429.1,27.92,18.26,10.774,76.31,18.83,0.8117,2.29,lubrication,0.7662,WARNING,0
M1,68.7165542602539,0.23235577145663325,WARNING,343.649166980422,339.8697405711793,60.54645422420977,85.33894267059175,2107.214725378756,429.07,29.33,19.18,10.976,75.71,18.96,0.8104,2.29,lubrication,0.7119,WARNING,0
M1,68.89550399780273,0.2841111645649152,WARNING,343.649166980422,339.8697405711793,60.628249988130904,83.44007114281395,2014.7372159090392,426.43,28.22,18.34,11.0,75.8,18.98,0.8102,2.3,lubrication,0.7791,WARNING,0
M1,56.59680023193359,0.2950764393846292,WARNING,322.4089326054216,304.2706630150425,71.72690175820813,110.145163420894,1969.608191287817,385.84,36.46,21.44,7.991,74.99,13.37,0.8663,1.89,lubrication,0.9828,WARNING,0
M1,68.4074592590332,0.2546369494549531,WARNING,344.33893778237984,339.7409373637453,59.715885674929304,86.10261926328499,2050.2485795454104,425.96,28.3,18.37,10.834,75.85,18.79,0.8121,2.28,lubrication,0.7471,WARNING,0
M1,53.47332077026367,0.24184355461049845,WARNING,331.08474915286155,306.0496375626771,55.16877683733541,88.88900683121982,2030.2734374999516,386.08,28.82,16.96,6.95,75.18,12.02,0.8798,1.78,lubrication,0.9849,WARNING,0
